Secreted hormone,Abbreviation,Produced by,Effect
Oxytocin,OXY or OXT,Magnocellular neurosecretory cells of the paraventricular nucleus and supraoptic nucleus,Uterine contraction Lactation (letdown reflex)
Vasopressin (antidiuretic hormone),ADH or AVP,"Magnocellular and parvocellular neurosecretory cells of the paraventricular nucleus, magnocellular cells in supraoptic nucleus",Increase in the permeability to water of the cells of distal tubule and collecting duct in the kidney and thus allows water reabsorption and excretion of concentrated urine
