Nutritional type,Source of energy,Source of carbon,Examples
 Photoautotrophs , Sunlight , Organic compounds or carbon fixation, Most algae 
 Chemoheterotrophs, Organic compounds , Organic compounds ," Apicomplexa, Trypanosomes or Amoebae "
