Nutritional type,Source of energy,Source of carbon,Examples
 Phototrophs , Sunlight , Organic compounds , Halobacterium 
 Lithotrophs, Inorganic compounds, Organic compounds or carbon fixation," Ferroglobus, Methanobacteria or Pyrolobus "
 Organotrophs, Organic compounds , Organic compounds or carbon fixation ," Pyrococcus, Sulfolobus or Methanosarcinales "
